"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20100105026749I","05-JAN-10","PAHOKEE","FL","PALM BEACH CO GLADES","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","P","DELTA CONNECTION","","PILOT SCHOOLS","","62405","0","0","LYCOMI","0-320 SERIES","","1","COMMERCIAL PILOT","280","23","50",""
"20100106025739I","06-JAN-10","POUGHKEEPSIE","NY","DUTCHESS COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","LANCAIR","IV","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","4SX","0","0","CONT M","TSIO-550-E","E3B","","COMMERCIAL PILOT","1944","339","22",""
"20100106025819I","06-JAN-10","GLENCOE","MN","","INCIDENT","NONE","DESCENT","MOONEY","M20J","NO SERIES EXISTS","THUNDERBIRD AVIATION INC","","GENERAL OPERATING RULES","","57651","0","0","LYCOMI","AEIO-360 SER","IO-360","1","","0","0","0",""
"20100106025859I","06-JAN-10","FRESNO","CA","FRESNO YOSEMITE INTL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA18","A","FEDERICO HELICOPTERS INC","","GENERAL OPERATING RULES","","3374B","0","0","LYCOMI","0-290 SERIES","","","AIRLINE TRANSPORT","26000","250","30",""
"20100106026009I","06-JAN-10","PHOENIX","AZ","PHOENIX DEER VALLEY","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA12","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2949M","0","0","LYCOMI","0-290 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6390","150","100",""
"20100108025789I","08-JAN-10","","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","NONE","TAKEOFF: DEPARTURE","EMBRAER","EMB145","LR","CHAUTAUQUA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","573RP","0","0","ROLLS-","AE 3007A1P","","","","0","0","0",""
"20100109025759I","09-JAN-10","HARLINGEN","TX","VALLEY INTL","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","381TS","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","1600","70","25",""
"20100109025949I","09-JAN-10","CHINO","CA","CHINO","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","CESSNA","310","H","","","GENERAL OPERATING RULES","","1083Q","0","0","CONT M","I0-470 SERIES","","2","AIRLINE TRANSPORT","13000","350","75",""
"20100110025729I","10-JAN-10","RENO","NV","RENO/TAHOE INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","AIRBUS","A320","212","DELTA AIR LINES INC","","AIR CARRIER/COMMERCIAL","","369NW","0","0","CFM IN","CFM56 SERIES","","","AIRLINE TRANSPORT","0","0","0",""
"20100110025769I","10-JAN-10","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","AIRBUS","A319","131","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","816UA","0","3","IAE","V2500SERIES","","","AIRLINE TRANSPORT","9842","915","234",""
"20100111025849I","11-JAN-10","GREENVILLE","ME","GREENVILLE MUNI","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","310","J","","","GENERAL OPERATING RULES","","63GG","0","0","","","","2","COMMERCIAL PILOT","1870","300","35",""
"20100111026289I","11-JAN-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2C10","700","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","758EV","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100111026409I","11-JAN-10","TROUTDALE","OR","PORTLAND-TROUTDALE","INCIDENT","MINOR","TAXI","CESSNA","172","M","","","GENERAL OPERATING RULES","","5201H","0","0","LYCOMI","0-320 SERIES","N/A","1","COMMERCIAL PILOT","336","105","9",""
"20100111026819I","11-JAN-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","LANDING: ROLLOUT","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","856AS","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100112025869I","12-JAN-10","DELAND","FL","DELAND MUNI-SIDNEY H TAYLOR FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","306GD","0","1","LYCOMI","I0360 SER","","","COMMERCIAL PILOT","900","30","30",""
"20100112026099I","12-JAN-10","MIAMI","FL","MIAMI INTL","INCIDENT","MINOR","TAXI","BOEING","737","400","","","GENERAL OPERATING RULES","","728CF","0","0","","","","","AIRLINE TRANSPORT","18000","4500","14",""
"20100112028329I","12-JAN-10","JAMESTOWN","NY","CHAUTAUQUA COUNTY/JAMESTOWN","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","1067T","0","0","CONT M","IO-550 SERIES","","2","COMMERCIAL PILOT","2300","1000","50",""
"20100113025889I","13-JAN-10","CONCORD","CA","BUCHANAN FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","NANCHANG","CJ6","A","","","GENERAL OPERATING RULES","","75483","0","0","HOUSAI","6JIA","201","","AIRLINE TRANSPORT","25200","32","12",""
"20100113026039I","13-JAN-10","BAY SAINT LOUIS","MS","STENNIS INTL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","210","C","","","GENERAL OPERATING RULES","","3663Y","0","0","CONT M","I0-470 SERIES","","1","PRIVATE PILOT","1200","550","1",""
"20100114026069I","14-JAN-10","","","","INCIDENT","NONE","OTHER-SPECIFY","BOEING","737","3T0","VISION AIRLINES INC","","AIR CARRIER/COMMERCIAL","","732VA","0","1","CFM IN","CFM56 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","18000","5300","145",""
"20100114027099I","14-JAN-10","BOWLING GREEN","OH","WOOD COUNTY","INCIDENT","MINOR","OTHER-SPECIFY","PIPER","PA28R","201","BOWLING GREEN STATE UNIVERSITY","","GENERAL OPERATING RULES","","787BG","0","0","LYCOMI","I0360 SER A&C","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","810","160","60",""
"20100115026129I","15-JAN-10","CRESCENT CITY","FL","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA28","161","EURO AMERICAN SCHOOL OF AVIATION","","PILOT SCHOOLS","","9225N","0","0","LYCOMI","O-320-D3G","O320","","","0","0","0",""
"20100115026389I","15-JAN-10","STATEN ISLAND","NY","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA18","150","AERO-TECH SERVICES INC","","GENERAL OPERATING RULES","","4651Y","0","0","LYCOMI","O&VO-360 SER","O-360-","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","450","65","20",""
"20100115026412I","15-JAN-10","JASPER","GA","PICKENS COUNTY","INCIDENT","MINOR","GROUND-RAMP","CESSNA","172","F","","","GENERAL OPERATING RULES","","5588R","0","0","CONT M","0-300","E2D","1","PRIVATE PILOT","720","432","3",""
"20100117026429I","17-JAN-10","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","MINOR","OTHER-SPECIFY","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","MESABA AVIATION INC","","AIR CARRIER/COMMERCIAL","","834AY","0","0","GE","CF34-3B1","","","","0","0","0",""
"20100117026899I","17-JAN-10","WRIGHT","WY","","INCIDENT","NONE","MANEUVER","BELL","206","B","SM HELICOPTERS INC","","ROTORCRAFT EXTERNAL LOAD OPERATIONS","","54GL","0","0","ROLLS-","250-C20J","","1","AIRLINE TRANSPORT","20000","7000","109",""
"20100118001829I","18-JAN-10","ORLANDO","FL","ORLANDO SANFORD INTL","INCIDENT","MINOR","LANDING","CESSNA","A185","F","","","GENERAL OPERATING RULES","UNKNOWN","525JB","0","0","ROTAX","ROTAX*","","1","PRIVATE PILOT","750","55","25",""
"20100118026799I","18-JAN-10","SANFORD","FL","SANFORD","INCIDENT","MINOR","LANDING: TOUCHDOWN","PROGRESSIVE AERODYNE","SEAREY","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","252JB","0","0","BOMBAR","ROTAX (ALL)","","1","PRIVATE PILOT","750","55","25",""
"20100119025979I","19-JAN-10","APPOMATTOX","VA","","INCIDENT","MINOR","DESCENT","BELL","407","NO SERIES EXISTS","PAK WEST AIRLINES INC","","GENERAL OPERATING RULES","","34VA","0","0","ALLISO","250-C47","N/A","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","5140","410","31",""
"20100119026019I","19-JAN-10","VALENTINE","NE","MILLER FIELD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","402","B","BUSINESS AVIATION COURIER INC","","AIR TAXI/COMMUTER","","3796C","0","0","CONT M","TSIO-520 SER","EB","2","","0","0","0",""
"20100119026219I","19-JAN-10","OKEECHOBEE","FL","","INCIDENT","NONE","LANDING: APPROACH","CESSNA","150","F","FLIGHT TRAINING INTERNATIONAL INC","","GENERAL OPERATING RULES","","7160F","0","0","CONT M","0-200 SERIES","0-200","1","STUDENT","79","19","13",""
"20100119027069I","19-JAN-10","CHARLESTON","WV","YEAGER","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","PSA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","246PS","0","0","GE","CF34 SERIES","3B1","","AIRLINE TRANSPORT","8975","7925","164",""
"20100119029259I","19-JAN-10","CLEVELAND","OH","CLEVELAND-HOPKINS INTL","INCIDENT","MINOR","LANDING: APPROACH","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","CHAUTAUQUA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","667BR","0","0","GE","CF34 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","5000","2000","187",""
"20100120025999I","20-JAN-10","PEORIA","IL","GENERAL DOWNING - PEORIA INTL","INCIDENT","NONE","GROUND-RAMP","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","988CA","0","0","GE","CF34 SERIES","","","AIRLINE TRANSPORT","0","0","0",""
"20100120026229I","20-JAN-10","LAKE ELMO","MN","LAKE ELMO","INCIDENT","MINOR","TAKEOFF: ROTATION","LANCAIR","LC42","550FG","","","GENERAL OPERATING RULES","","646MB","0","0","CONT M","IO-550-N","","","COMMERCIAL PILOT","1748","56","8",""
"20100120026529I","20-JAN-10","ENGLEWOOD","CO","CENTENNIAL","INCIDENT","MINOR","GROUND-RAMP","PIPER","PA46","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","891CR","0","0","","","","","COMMERCIAL PILOT","2790","650","75",""
"20100120026689I","20-JAN-10","CHARLOTTE","MI","FITCH H BEACH","INCIDENT","MINOR","TAXI","PIPER","J4","A","","","GENERAL OPERATING RULES","","30348","0","0","CONT M","C85 SERIES","","1","PRIVATE PILOT","469","255","25",""
"20100120028369I","20-JAN-10","AKRON","OH","AKRON-CANTON RGNL","INCIDENT","NONE","MANEUVER","CESSNA","182","R","","","GENERAL OPERATING RULES","","38180","0","0","CONT M","O-470 SERIES","","1","PRIVATE PILOT","197","17","16",""
"20100121026109I","21-JAN-10","TETERBORO","NJ","TETERBORO","INCIDENT","MINOR","LANDING: ROLLOUT","IAI","GULFSTREAM200","NO SERIES EXISTS","FLIGHTWORKS INC","","GENERAL OPERATING RULES","","90FT","0","0","","","","2","AIRLINE TRANSPORT","0","20","90",""
"20100121026239I","21-JAN-10","TETERBORO","NJ","TETERBORO","INCIDENT","NONE","TAXI","CESSNA","525","B","","","GENERAL OPERATING RULES","","83TF","0","0","WILLIA","FJ44-3A","","2","AIRLINE TRANSPORT","3000","1200","40",""
"20100121027669I","21-JAN-10","SAN DIEGO","CA","SAN DIEGO INTL","INCIDENT","MINOR","LANDING: ROLLOUT","BOEING","737","3H4","SOUTHWEST AIRLINES CO","","AIR CARRIER/COMMERCIAL","","398SW","0","0","CFM IN","CFM56 SERIES","","","AIRLINE TRANSPORT","9369","9369","162",""
"20100122026379I","22-JAN-10","FARMINGTON HILLS","MI","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BELL","206","B","HELICOPTERS INC","","GENERAL OPERATING RULES","","2BQ","0","0","ALLISO","250-C20","C-20","","COMMERCIAL PILOT","17000","14300","250",""
"20100122027909I","22-JAN-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","846AS","0","0","","","","","","0","0","0",""
"20100122043839I","22-JAN-10","KOYUK","AK","KOYUK ALFRED ADAMS","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","207","A","ARCTIC TRANSPORTATION SERVICES INC","","AIR TAXI/COMMUTER","","7605U","0","0","CONT M","IO 520 SERIES","RECIPR","1","COMMERCIAL PILOT","2522","1300","151",""
"20100123026349I","23-JAN-10","WINNEMUCCA","NV","WINNEMUCCA MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","210","E","","","GENERAL OPERATING RULES","","2315F","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","583","42","2",""
"20100123026369I","23-JAN-10","KERNERSVILLE","NC","","INCIDENT","SUBSTANTIAL","GROUND-RAMP","","","","","","GENERAL OPERATING RULES","","132DH","0","1","BOMBAR","ROTAX (ALL)","582","","PRIVATE PILOT","1000","300","20",""
"20100123026569I","23-JAN-10","TROUTDALE","OR","PORTLAND-TROUTDALE","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","N","GORGE WINDS AVIATION INC","","GENERAL OPERATING RULES","","172MR","0","0","LYCOMI","","","1","STUDENT","19","19","12",""
"20100123027129I","23-JAN-10","CAMARILLO","CA","CAMARILLO","INCIDENT","MINOR","LANDING: ROLLOUT","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9229M","0","0","LYCOMI","I0360 SER","UNK","1","PRIVATE PILOT","1700","1000","13",""
"20100123029189I","23-JAN-10","DENVER","CO","DENVER INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","AIRBUS","A320","232","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","449UA","0","0","IAE","V2500SERIES","","","","0","0","0",""
"20100124026499I","24-JAN-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2C10","700","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","390CA","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100125026699I","25-JAN-10","FORT SMITH","AR","FORT SMITH RGNL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","421","C","HEALTHMARK SERVICES AIR","","GENERAL OPERATING RULES","","421JP","0","0","CONT M","GTSI0-520-F-K","","2","","0","0","0",""
"20100125026879I","25-JAN-10","SALINAS","PR","MERCEDITA","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BELL","407","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","311DJ","0","0","ALLISO","250-C47","","1","","0","0","0",""
"20100126026279I","26-JAN-10","WEST JORDAN","UT","SOUTH VALLEY RGNL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","T210","M","","","GENERAL OPERATING RULES","","732RQ","0","0","CONT M","TSIO-520 SER","","1","COMMERCIAL PILOT","5000","380","4",""
"20100126026449I","26-JAN-10","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","T210","L","","","GENERAL OPERATING RULES","","2235S","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","0","0","0",""
"20100126027009I","26-JAN-10","MERIDIAN","MS","KEY FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","195","B","","","GENERAL OPERATING RULES","","4418C","0","0","JACOBS","R755B SERIES","","1","AIRLINE TRANSPORT","11987","292","34",""
"20100126027269I","26-JAN-10","EUFAULA","AL","WEEDON FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CIRRUS","SR22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","667CD","0","0","CONT M","IO-550 SERIES","","1","COMMERCIAL PILOT","800","300","15",""
"20100127026439I","27-JAN-10","SPOKANE","WA","FELTS FIELD","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","182","R","","","GENERAL OPERATING RULES","","2340C","0","0","LYCOMI","IO-540 SER","","1","PRIVATE PILOT","340","4","4",""
"20100127026519I","27-JAN-10","CURTIS","NE","CURTIS MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","C","","","GENERAL OPERATING RULES","","1860Y","0","0","CONT M","0-300 SER","","1","PRIVATE PILOT","301","100","25",""
"20100127026559I","27-JAN-10","ALLENTOWN","PA","LEHIGH VALLEY INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","NORTH AMERICAN","T28","C","","","GENERAL OPERATING RULES","","2215D","0","0","WRIGHT","R-1820 SER","","","AIRLINE TRANSPORT","4800","29","8",""
"20100127026979I","27-JAN-10","BENTONVILLE","AR","NORTHWEST ARKANSAS RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","PIAGGIO","P180","AVANTI","","","GENERAL OPERATING RULES","","408SF","0","0","P&W CA","PT6A-66B","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","10520","2888","80",""
"20100127027389I","27-JAN-10","NEW CUMBERLAND","PA","CAPITAL CITY","INCIDENT","MINOR","LANDING: ROLLOUT","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","252VV","0","0","CONT M","TSIO-360 SER","","1","COMMERCIAL PILOT","3600","500","50",""
"20100127028039I","27-JAN-10","TALLAHASSEE","FL","TALLAHASSEE RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","P","DELTA CONNECTION","","PILOT SCHOOLS","","5451K","0","0","LYCOMI","0-320 SERIES","","1","COMMERCIAL PILOT","196","45","44",""
"20100128027579I","28-JAN-10","ARLINGTON","TX","ARLINGTON MUNI","INCIDENT","MINOR","LANDING: APPROACH","BELL","427","NO SERIES EXISTS","BELL HELICOPTER","","GENERAL OPERATING RULES","","427F","0","0","P&W CA","PW207D","","1","COMMERCIAL PILOT","5500","31","7",""
"20100129026629I","29-JAN-10","SPRINGDALE","AR","NORTHWEST ARKANSAS RGNL","INCIDENT","NONE","TAKEOFF: ROTATION","CANADAIR","CL600 2B16","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","906TF","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100130026589I","30-JAN-10","CINCINNATI","OH","CINCINNATI-BLUE ASH","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA32","300","","","GENERAL OPERATING RULES","","8979N","0","0","LYCOMI","TI0-540 SER","","","PRIVATE PILOT","1900","325","15",""
"20100130027119I","30-JAN-10","DANVILLE","IL","VERMILION REGIONAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","45","A45","","","GENERAL OPERATING RULES","","88RM","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","4000","2010","18",""
"20100131026469I","31-JAN-10","BESSEMER","AL","BESSEMER","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","V35B","","","GENERAL OPERATING RULES","","212BD","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","1779","10","14",""
"20100131026849I","31-JAN-10","LAKE IN THE HILLS","IL","LAKE IN THE HILLS","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","151","BLUE SKIES FLYING SERVICE","","GENERAL OPERATING RULES","","32403","0","0","LYCOMI","0-320 SERIES","","","STUDENT","38","38","0",""
"20100131027039I","31-JAN-10","SLIPPERY ROCK","PA","BUTLER FARM SHOW","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","A185","F","","","GENERAL OPERATING RULES","","5108T","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","1164","400","14",""
"20100131027849I","31-JAN-10","LA HONDA","CA","","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","120","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2324N","0","0","CONT M","C85 SERIES","","1","PRIVATE PILOT","640","10","14",""
"20100201026479I","01-FEB-10","MARLTON","NJ","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","152","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6103P","0","0","LYCOMI","0-235","L2C","1","COMMERCIAL PILOT","875","75","45",""
"20100201026619I","01-FEB-10","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","402","C","HYANNIS AIR SERVICE INC","","AIR TAXI/COMMUTER","","6875D","0","0","CONT M","TSIO-520 SER","","2","AIRLINE TRANSPORT","15000","9000","134",""
"20100201026839I","01-FEB-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","860AS","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100201051969I","01-FEB-10","FARMINGDALE","NY","REPUBLIC","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5783D","0","0","LYCOMI","IO-360","","1","STUDENT","103","59","15",""
